交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
2016/1/4,XIF,201601,10272,10304,9960,10009,-295,-2.86%,695,10009,591,9997,10020,10540,9729,
2016/1/4,XIF,201602,10239,10239,9953,9998,-302,-2.93%,50,9998,118,9983,10013,10341,9953,
2016/1/4,XIF,201603,-,-,-,-,-,-,-,9996,2,9499,10518,10394,9800,
2016/1/4,XIF,201606,-,-,-,-,-,-,-,10045,1,9399,10002,9800,9800,
2016/1/4,XIF,201609,-,-,-,-,-,-,-,9871,0,9199,10518,-,-,
2016/1/4,TX,201601,8262,8294,8036,8075,-200,-2.42%,191331,8073,57274,8073,8075,8545,7940,
2016/1/4,TX,201602,8246,8283,8027,8057,-210,-2.54%,3387,8057,4194,8057,8059,8382,8027,
2016/1/4,TX,201603,8261,8273,8020,8049,-209,-2.53%,441,8048,3715,8048,8052,9799,6944,
2016/1/4,TX,201606,8233,8250,8000,8029,-212,-2.57%,269,8029,1923,8027,8029,8973,6936,
2016/1/4,TX,201609,7955,7971,7715,7744,-211,-2.65%,122,7744,1605,7746,7751,8601,7624,
2016/1/4,TJF,201601,1533,1544.75,1491,1491,-43.25,-2.82%,1822,1491,127,1491,1492,1559,1491,
2016/1/4,TJF,201602,1541,1543.75,1500,1500,-34.25,-2.23%,249,1500,235,1490.75,1492.25,1554.25,1500,
2016/1/4,TJF,201603,-,-,-,-,-,-,-,1487,1,1481,1502,1537.25,1509,
2016/1/4,TJF,201606,-,-,-,-,-,-,-,1485,0,1466,1502,1334,1334,
2016/1/4,TJF,201609,1498,1498,1498,1498,-28.75,-1.88%,1,1498,2,1466,1502,1538.75,1460,
2016/1/4,TGF,201602,4259,4308,4253.5,4306,59,1.39%,397,4306,481,4301.5,4306,4615,4155,
2016/1/4,TGF,201604,4245,4288.5,4243,4287.5,46.5,1.10%,100,4287.5,72,4285.5,4291.5,4288.5,4215.5,
2016/1/4,TGF,201606,-,-,-,-,-,-,-,4441.5,0,3802.5,-,-,-,
2016/1/4,TGF,201608,-,-,-,-,-,-,-,4394.5,0,3752.5,-,-,-,
2016/1/4,TGF,201610,-,-,-,-,-,-,-,4331,1,3702.5,4905,4333.5,4333.5,
2016/1/4,TGF,201612,-,-,-,-,-,-,-,4402.5,0,3802.5,4785,-,-,
2016/1/4,TF,201601,977.4,983.2,950,950.6,-27.6,-2.82%,4313,950.8,2236,950.4,951.2,1053,950,
2016/1/4,TF,201602,979,980,949,949.4,-27.8,-2.84%,158,949.4,173,949,950,996,949,
2016/1/4,TF,201603,978.8,978.8,950,950,-25.2,-2.58%,7,950,27,946.8,949.6,1212,875,
2016/1/4,TF,201606,-,-,-,-,-,-,-,946.2,16,936.8,952,1132.6,901,
2016/1/4,TF,201609,-,-,-,-,-,-,-,911.6,1,904.8,925,1031.8,961,
2016/1/4,TE,201601,325.5,326.3,317.15,318.7,-7.4,-2.27%,4954,318.6,3731,318.55,318.75,336.6,314.8,
2016/1/4,TE,201602,325.5,325.5,317.15,317.75,-7.75,-2.38%,109,317.75,189,317.8,318.15,330.7,317.15,
2016/1/4,TE,201603,317.85,317.85,317.85,317.85,-7.1,-2.18%,1,317.85,21,317.1,317.7,360.95,270.5,
2016/1/4,TE,201606,312,312,312,312,-13.1,-4.03%,7,314.2,11,312.6,315.85,342.3,277.1,
2016/1/4,TE,201609,306.2,306.2,305,305,-11.3,-3.57%,15,305,11,301.6,307.05,318.75,305,
2016/1/4,T5F,201601,-,-,-,-,-,-,-,5910,0,5852,5968,-,-,
2016/1/4,T5F,201602,-,-,-,-,-,-,-,5913,0,5827,5955,-,-,
2016/1/4,T5F,201603,-,-,-,-,-,-,-,5916,0,5461,6659,-,-,
2016/1/4,T5F,201606,-,-,-,-,-,-,-,5930,0,5481,6679,-,-,
2016/1/4,T5F,201609,-,-,-,-,-,-,-,5712,0,5281,6439,-,-,
2016/1/4,RTF,201601,6.6307,6.6327,6.6192,6.6192,0.0174,0.26%,308,6.6192,241,6.4589,6.6192,6.6327,6.444,
2016/1/4,RTF,201602,6.6439,6.6618,6.6439,6.6495,0.0225,0.34%,280,6.6495,226,6.65,7.085,6.6618,6.589,
