Date,Open,High,Low,Close,Volume,Color
1998-07-22,7950,7950,7820,7870,360,g
1998-07-23,7830,7859,7802,7825,190,g
1998-07-24,7750,7835,7740,7835,340,r
1998-07-27,7830,7835,7780,7786,150,g
1998-07-28,7809,7830,7741,7742,264,g
1998-07-29,7710,7729,7657,7680,323,g
1998-07-30,7665,7678,7620,7638,221,g
1998-07-31,7660,7683,7600,7600,257,g
1998-08-01,7557,7609,7550,7609,378,r
1998-08-03,7640,7657,7542,7552,293,g
1998-08-04,7555,7600,7548,7560,302,r
1998-08-05,7510,7520,7470,7487,455,g
1998-08-06,7515,7525,7451,7462,270,g
1998-08-07,7480,7520,7452,7515,453,r
1998-08-10,7500,7500,7350,7365,345,g
1998-08-11,7316,7379,7316,7360,386,r
1998-08-12,7335,7335,7281,7330,384,g
1998-08-13,7360,7378,7291,7291,496,g
1998-08-14,7275,7326,7140,7320,528,r
1998-08-15,7261,7338,7261,7300,361,r
1998-08-17,7285,7285,7219,7219,308,g
1998-08-18,7250,7250,7165,7220,574,g
1998-08-19,7269,7300,7260,7285,543,r
1998-08-20,7300,7300,7253,7274,322,g
1998-08-21,7255,7255,7220,7225,301,g
1998-08-24,7172,7175,6955,6955,919,g
1998-08-25,6938,6970,6844,6949,780,r
1998-08-26,6990,7014,6790,6790,839,g
1998-08-27,6681,6850,6651,6835,1137,r
1998-08-28,6699,6820,6655,6695,1285,g
1998-08-29,6700,6780,6700,6728,698,r
1998-08-31,6750,6756,6566,6566,922,g
1998-09-01,6352,6410,6216,6410,1584,r
1998-09-02,6494,6495,6380,6430,1417,g
1998-09-03,6400,6400,6200,6200,1459,g
1998-09-04,6120,6400,6120,6399,1789,r
1998-09-05,6420,6710,6420,6700,2198,r
1998-09-07,6730,6769,6603,6719,1632,g
1998-09-08,6719,6870,6700,6865,1410,r
1998-09-09,6930,6931,6735,6770,1901,g
1998-09-10,6720,6798,6702,6730,1371,r
1998-09-11,6680,6769,6630,6769,1804,r
1998-09-14,6789,6849,6769,6818,871,r
1998-09-15,6840,6850,6780,6825,612,g
1998-09-16,6815,6995,6815,6995,732,r
1998-09-17,6945,6964,6892,6906,1979,g
1998-09-18,6840,6876,6832,6842,1470,r
1998-09-19,6859,7040,6855,7039,2339,r
1998-09-21,7035,7060,6850,6861,2307,g
1998-09-22,6930,6958,6855,6926,1715,g
1998-09-23,6900,6946,6850,6852,1773,g
1998-09-24,6940,6940,6870,6890,1403,g
1998-09-25,6856,6881,6771,6871,1928,r
1998-09-28,6860,6880,6801,6840,1132,g
1998-09-29,6870,6875,6780,6806,1389,g
1998-09-30,6806,6827,6751,6787,1239,g
1998-10-01,6738,6745,6620,6620,2073,g
1998-10-02,6530,6530,6311,6398,2532,g
1998-10-03,6398,6555,6398,6550,2383,r
1998-10-06,6490,6493,6320,6450,2007,g
1998-10-07,6469,6640,6469,6639,2348,r
1998-10-08,6600,7035,6600,6981,3281,r
1998-10-09,6980,7028,6830,6900,3290,g
1998-10-12,6980,6980,6900,6935,1613,g
1998-10-13,6950,6990,6851,6852,2387,g
1998-10-14,6830,6830,6740,6775,2224,g
1998-10-15,6775,6781,6720,6760,1188,g
1998-10-17,6950,6975,6895,6908,1592,g
1998-10-19,6920,6926,6871,6900,641,g
1998-10-20,6885,6898,6812,6812,777,g
1998-10-21,6812,7055,6789,7054,926,r
