交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,比較值
2024/01/02,TX,202401  ,17838,17920,17751,17798,-72,-0.40%,82827,17800,103404,17798,17800,17920,16001,,一般,,202401  
2024/01/03,TX,202401  ,17658,17667,17507,17546,-254,-1.43%,97851,17545,106526,17546,17549,17920,16001,,一般,,202401  
2024/01/04,TX,202401  ,17525,17583,17525,17546,1,0.01%,57402,17550,102022,17545,17547,17920,16001,,一般,,202401  
2024/01/05,TX,202401  ,17577,17626,17491,17519,-31,-0.18%,77062,17518,101818,17516,17519,17920,16001,,一般,,202401  
2024/01/08,TX,202401  ,17572,17706,17568,17595,77,0.44%,86585,17595,102591,17595,17596,17920,16001,,一般,,202401  
2024/01/09,TX,202401  ,17770,17782,17526,17545,-50,-0.28%,96286,17547,103756,17545,17546,17920,16001,,一般,,202401  
2024/01/10,TX,202401  ,17509,17521,17439,17458,-89,-0.51%,70327,17460,102213,17458,17460,17920,16001,,一般,,202401  
2024/01/11,TX,202401  ,17490,17606,17481,17575,115,0.66%,86899,17570,100653,17573,17574,17920,16001,,一般,,202401  
2024/01/12,TX,202401  ,17466,17570,17447,17489,-81,-0.46%,83946,17487,90295,17489,17490,17920,16001,,一般,,202401  
2024/01/15,TX,202401  ,17580,17655,17527,17559,72,0.41%,137809,17554,59653,17557,17559,17920,16001,,一般,,202401  
2024/01/16,TX,202401  ,17480,17499,17321,17333,-221,-1.26%,123488,17333,36428,17333,17335,17920,16001,,一般,,202401  
2024/01/17,TX,202401  ,17313,17344,17159,17167,-166,-0.96%,63464,0,23542,17167,17168,17920,16001,,一般,,202401  
2024/01/18,TX,202402  ,17240,17326,17215,17280,45,0.26%,90702,17282,79622,17279,17282,17906,17148,,一般,,202401  
2024/01/19,TX,202402  ,17541,17684,17504,17678,396,2.29%,111839,17674,82596,17676,17678,17906,17148,,一般,,202401  
2024/01/22,TX,202402  ,17816,17843,17747,17817,143,0.81%,83035,17815,80566,17816,17818,17906,17148,,一般,,202401  
2024/01/23,TX,202402  ,17799,17877,17790,17870,55,0.31%,77256,17868,81014,17870,17873,17906,17148,,一般,,202401  
2024/01/24,TX,202402  ,17903,17941,17876,17903,35,0.20%,65654,17896,79857,17899,17903,17941,17148,,一般,,202401  
2024/01/25,TX,202402  ,18016,18030,17935,17995,99,0.55%,74949,17997,81602,17996,17998,18090,17148,,一般,,202401  
2024/01/26,TX,202402  ,17951,18023,17936,17999,2,0.01%,65973,17999,81748,17999,18000,18090,17148,,一般,,202401  
2024/01/29,TX,202402  ,18011,18135,17970,18125,126,0.70%,73311,18123,84626,18124,18125,18135,17148,,一般,,202401  
2024/01/30,TX,202402  ,18129,18139,18064,18081,-42,-0.23%,63313,18081,80335,18081,18082,18152,17148,,一般,,202401  
2024/01/31,TX,202402  ,17990,18003,17904,17920,-161,-0.89%,78949,17921,78494,17921,17923,18152,17148,,一般,,202401  
2024/02/01,TX,202402  ,17956,17994,17882,17986,65,0.36%,82846,17985,79266,17986,17987,18152,17148,,一般,,202402  
2024/02/02,TX,202402  ,18100,18105,18023,18084,99,0.55%,64193,18084,79503,18084,18086,18152,17148,,一般,,202402  
2024/02/05,TX,202402  ,18008,18102,17958,18086,2,0.01%,72290,18085,76564,18085,18086,18152,17148,,一般,,202402  
2024/02/15,TX,202402  ,18590,18696,18531,18667,582,3.22%,112201,18666,76320,18665,18667,18696,17148,,一般,,202402  
2024/02/16,TX,202402  ,18683,18726,18633,18634,-32,-0.17%,65410,18639,71159,18632,18635,18727,17148,,一般,,202402  
2024/02/19,TX,202402  ,18680,18692,18619,18671,32,0.17%,80197,18669,51848,18671,18673,18727,17148,,一般,,202402  
2024/02/20,TX,202402  ,18634,18754,18596,18753,84,0.45%,86334,18751,29534,18752,18754,18754,17148,,一般,,202402  
2024/02/21,TX,202402  ,18738,18750,18659,18670,-81,-0.43%,41207,0,14640,18670,18671,18817,17148,,一般,,202402  
2024/02/22,TX,202403  ,18887,18890,18751,18889,196,1.05%,84610,18886,74973,18887,18889,18890,14451,,一般,,202402  
2024/02/23,TX,202403  ,18990,19000,18898,18913,27,0.14%,80858,18912,75413,18912,18913,19004,14451,,一般,,202402  
2024/02/26,TX,202403  ,18907,18996,18853,18963,51,0.27%,68087,18964,77674,18963,18965,19004,14451,,一般,,202402  
2024/02/27,TX,202403  ,18950,19020,18750,18867,-97,-0.51%,120451,18870,76800,18866,18868,19020,14451,,一般,,202402  
